행정동_코드,상권_변화_지표,유형_수
역삼1동,['LL'],1
행당2동,['LL'],1
풍납2동,['HH'],1
용신동,['HH'],1
창신2동,['HH'],1
창신1동,['HH'],1
창5동,['LL'],1
잠실2동,['LL'],1
잠실3동,['HH'],1
잠실4동,['LL'],1
잠실6동,['LL'],1
잠실7동,['HH'],1
창2동,['LL'],1
장안1동,['HL'],1
신정2동,['LL'],1
창1동,['LL'],1
장위2동,['HH'],1
장지동,['LL'],1
진관동,['LL'],1
장충동,['HH'],1
증산동,['HH'],1
중앙동,['LL'],1
정릉4동,['LH'],1
제기동,['HH'],1
중림동,['HH'],1
조원동,['HL'],1
종로1?2?3?4가동,['HH'],1
종로5?6가동,['HH'],1
중곡3동,['LL'],1
중계1동,['LL'],1
중계2?3동,['LH'],1
중계4동,['LL'],1
자양2동,['LL'],1
자양1동,['LL'],1
행당1동,['LH'],1
천연동,['HH'],1
우장산동,['LL'],1
합정동,['LL'],1
원효로1동,['HH'],1
원효로2동,['HH'],1
월계1동,['LL'],1
한강로동,['HH'],1
필동,['HH'],1
중계본동,['LL'],1
위례동,['LL'],1
평창동,['HH'],1
은천동,['LL'],1
을지로동,['HH'],1
충현동,['HH'],1
응암2동,['LL'],1
청운효자동,['LH'],1
이문1동,['HH'],1
청룡동,['LL'],1
이촌1동,['HH'],1
이촌2동,['HH'],1
이태원1동,['HH'],1
청량리동,['HH'],1
이태원2동,['LL'],1
이화동,['LH'],1
인수동,['LL'],1
청담동,['LL'],1
청구동,['LL'],1
천호1동,['LL'],1
장안2동,['LL'],1
가락1동,['HH'],1
신정1동,['HL'],1
도봉1동,['HL'],1
등촌3동,['LL'],1
둔촌1동,['HH'],1
동선동,['LL'],1
돈암2동,['LL'],1
독산4동,['HL'],1
독산3동,['HL'],1
독산1동,['LH'],1
도봉2동,['LL'],1
도곡2동,['HL'],1
신월7동,['HL'],1
대학동,['LL'],1
대치4동,['LL'],1
대림2동,['LL'],1
대림1동,['HL'],1
당산1동,['HL'],1
답십리2동,['HH'],1
답십리1동,['LH'],1
다산동,['LH'],1
마장동,['HH'],1
마천1동,['HL'],1
마천2동,['HH'],1
망우3동,['LL'],1
미아동,['LL'],1
문정2동,['LL'],1
문정1동,['LL'],1
문래동,['LH'],1
묵2동,['LL'],1
묵1동,['LL'],1
목5동,['LL'],1
목4동,['LL'],1
목1동,['LL'],1
명동,['HH'],1
면목본동,['LL'],1
면목7동,['HL'],1
면목5동,['LL'],1
면목4동,['LL'],1
면목3?8동,['LL'],1
망원2동,['LL'],1
망원1동,['LL'],1
능동,['LH'],1
논현2동,['LL'],1
논현1동,['LL'],1
교남동,['HH'],1
광장동,['LH'],1
공항동,['LL'],1
공릉2동,['LL'],1
공덕동,['HH'],1
고척2동,['HL'],1
고덕1동,['LL'],1
거여1동,['LL'],1
개포4동,['HL'],1
개봉3동,['HL'],1
강일동,['LL'],1
갈현2동,['LL'],1
갈현1동,['LL'],1
가양3동,['LH'],1
가양1동,['LL'],1
가산동,['LL'],1
가리봉동,['HL'],1
