행정동_코드,상권_변화_지표
안암동,['LH']
암사1동,['LL']
암사2동,['LL' 'HL']
암사3동,['LH']
압구정동,['LL' 'HL']
약수동,['LH']
양재1동,['HL' 'HH' 'LH']
양재2동,['HL']
양평1동,['LH' 'LL']
양평2동,['HL' 'HH']
여의동,['HH']
역삼1동,['LL']
역삼2동,['LL']
역촌동,['LL']
연남동,['LL']
연희동,['LH' 'LL']
염리동,['LL']
염창동,['LH']
영등포동,['HH']
영등포본동,['LH']
오금동,['HL' 'LL']
오류1동,['LH']
오류2동,['LL']
오륜동,['HH']
옥수동,['LL']
왕십리2동,['LL' 'LH']
왕십리도선동,['LL' 'LH']
용강동,['HL' 'LH' 'LL']
용답동,['HH']
용문동,['HH' 'HL']
용산2가동,['LL']
용신동,['HH']
우이동,['LL' 'LH']
우장산동,['LL']
원효로1동,['HH']
원효로2동,['HH']
월계1동,['LL']
월계2동,['LL' 'LH']
월계3동,['LH' 'LL']
월곡1동,['LL' 'HL']
월곡2동,['LH' 'LL']
위례동,['LL']
은천동,['LL']
을지로동,['HH']
응봉동,['LL' 'HL']
응암1동,['LL' 'HH' 'LH']
응암2동,['LL']
응암3동,['HL' 'HH']
이문1동,['HH']
이문2동,['LL' 'HL' 'HH' 'LH']
이촌1동,['HH']
이촌2동,['HH']
이태원1동,['HH']
이태원2동,['LL']
이화동,['LH']
인수동,['LL']
인헌동,['LL' 'LH']
일원1동,['HH' 'HL']
일원2동,['HH' 'HL']
일원본동,['LH' 'LL']
자양1동,['LL']
자양2동,['LL']
자양3동,['LL' 'LH']
자양4동,['LL' 'HL']
잠실2동,['LL']
잠실3동,['HH']
잠실4동,['LL']
잠실6동,['LL']
잠실7동,['HH']
잠실본동,['LL' 'HL']
잠원동,['HL' 'LL']
장안1동,['HL']
장안2동,['LL']
장위1동,['LH' 'HL' 'HH']
장위2동,['HH']
장위3동,['LH' 'HH']
장지동,['LL']
장충동,['HH']
전농1동,['HH' 'LH']
전농2동,['HH' 'HL']
정릉1동,['LH' 'LL' 'HH']
정릉2동,['LH' 'HH']
정릉3동,['HH' 'LH']
정릉4동,['LH']
제기동,['HH']
조원동,['HL']
종로1?2?3?4가동,['HH']
종로5?6가동,['HH']
종암동,['HH' 'LH']
중계1동,['LL']
중계2?3동,['LH']
중계4동,['LL']
중계본동,['LL']
중곡1동,['LL']
중곡2동,['HL' 'LL']
중곡3동,['LL']
중곡4동,['HL' 'HH' 'LH' 'LL']
중림동,['HH']
중앙동,['LL']
중화1동,['HL' 'LL']
중화2동,['HL' 'LL']
증산동,['HH']
진관동,['LL']
창1동,['LL']
창2동,['LL']
창3동,['LH' 'HL' 'LL']
창4동,['LL' 'HL']
창5동,['LL']
창신1동,['HH']
창신2동,['HH']
창신3동,['LH' 'LL']
천연동,['HH']
천호1동,['LL']
천호2동,['HL' 'LL' 'LH']
천호3동,['LL' 'HL']
청구동,['LL']
청담동,['LL']
청량리동,['HH']
청룡동,['LL']
청림동,['LL' 'LH']
청운효자동,['LH']
청파동,['HH' 'HL']
충현동,['HH']
평창동,['HH']
풍납1동,['HH' 'HL']
풍납2동,['HH']
필동,['HH']
하계1동,['LL' 'LH']
하계2동,['LH' 'HH']
한강로동,['HH']
한남동,['LL' 'LH']
합정동,['LL']
항동,['LL' 'LH']
행당1동,['LH']
행당2동,['LL']
행운동,['HL' 'HH']
혜화동,['HH']
홍은1동,['HH' 'LH']
홍은2동,['LH']
홍제1동,['HH']
홍제2동,['HH' 'LH']
홍제3동,['HH']
화곡1동,['LL']
화곡2동,['LL']
화곡3동,['LL']
화곡4동,['LL']
화곡6동,['LL']
화곡8동,['LL']
화곡본동,['LL' 'HL']
화양동,['LL']
황학동,['HH']
회기동,['LL']
회현동,['HH']
효창동,['LH' 'HH']
후암동,['LH']
휘경1동,['LH' 'LL' 'HL' 'HH']
휘경2동,['LL']
흑석동,['HH' 'LH']
